name,price,stock,brand,link,labels
Rugbrød øko.,4500,52,Lagkagehuset,https://live.nemligstatic.com/scommerce/images/rugbroed-oeko.jpg?i=DaqXROnf/5006200&w=623&h=623&mode=pad,Øko;Rugbrød
Multikernesandwich,1995,27,Schulstad,https://live.nemligstatic.com/scommerce/images/multikernesandwich.jpg?i=nhQWS1Xf/5035289&w=623&h=623&mode=pad,Discount;Fuldkornsmærket;Nøglehulsmærket;Brød
Fuldkornspitabrød,1695,64,Hatting,https://live.nemligstatic.com/scommerce/images/fuldkornspitabroed.jpg?i=Qj-x-2an/5501484&w=623&h=623&mode=pad,Frost;Fuldkornsmærket;Nøglehulsmærket;Brød
Tortilla (fuldkorn) øko.,2495,65,Santa Maria,https://live.nemligstatic.com/scommerce/images/tortilla-fuldkorn-oeko.jpg?i=GvTr0m8a/5042026&w=623&h=623&mode=pad,Øko;Tex Mex;Madbrød
Snøfler,1790,24,Snøfler,https://live.nemligstatic.com/scommerce/images/snoefler.jpg?i=jxzAfs7R/105228&w=623&h=623&mode=pad,Discount;Kage
Kammerjunkere øko.,2695,39,Karen Volf,https://live.nemligstatic.com/scommerce/images/kammerjunkere-oeko.jpg?i=LXBNNkLo/5014309&w=623&h=623&mode=pad,Øko;Kage
Hollandske kryddere,925,30,Bachmann,https://live.nemligstatic.com/scommerce/images/hollandske-kryddere.jpg?i=tUYOUQ87/5030456&w=623&h=623&mode=pad,Skorper;Snack
Snackchips m. krydderi,1695,23,KiMs,https://live.nemligstatic.com/scommerce/images/snackchips-m-krydderi.jpg?i=uWMf8FIO/5004340&w=623&h=623&mode=pad,Discount;Chips
Chips m. havsalt,1695,69,KiMs,https://live.nemligstatic.com/scommerce/images/chips-m-havsalt.jpg?i=ku8iX8LT/5004335&w=623&h=623&mode=pad,Discount;Salt;Chips
Toffifee,1895,35,Toffifee,https://live.nemligstatic.com/scommerce/images/toffifee.jpg?i=Qj-x-2an/303020&w=623&h=623&mode=pad,Discount;Chokolade;Slik
